Economy_Label,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024,2025_US_at_current_prices_in_millions_Value
Australia,245392,237488,240679,214486,238921,302202,,,,,,,,
Austria,,,,,86581,92999,104181,118028,115738,110236,121789,162568,155923,
Belgium,,,,,,,,,,,,,300445,
Bosnia and Herzegovina,,,,,,3282,4262,2531,2787,2936,4131,4896,4888,
Bulgaria,,,,,,,,,,,,,15882,
Canada,121757,132393,,,,,,229504,,317337,,256804,,
China,,,,,1615203,1930543,2303892,2451020,2743676,3529418,4485860,5135547,5370538,
"China, Hong Kong SAR",36705,,51661,,57658,,62725,,72651,,112037,,124642,
Colombia,,,,,,,18365,16649,16362,,,,,
Croatia,,,,,7665,8479,9486,11765,13620,14059,13881,21506,22580,
Cyprus,,,,,,,,,,,,,9623,
Czechia,,,,,123318,128834,165239,152429,141480,175374,215393,168861,154749,
Denmark,,,,,61352,91153,81806,127184,126443,90549,200786,220003,215068,
Estonia,,,,,7075,7282,7244,6853,7616,10258,11310,11492,11906,
Finland,,,,,66767,74261,93221,,83696,,107511,122547,125671,
France,,,,,629094,742411,807365,839871,760792,540073,434650,501571,602360,
Germany,,,,,1325360,915952,966921,1142039,1269870,1147629,1179480,1703624,1661284,
Greece,,,,,9845,10215,12045,11733,15135,24206,26361,34058,39098,
Hungary,,,,,49822,63459,71127,72071,60778,60497,68914,89640,81904,
Iceland,,,,,,,,2086,,,,,,
Indonesia,,,,,,,,1216,,,52728,72250,81293,
Ireland,,,,,,,,,,,,,296714,
Italy,,,,,,,,,,,,,518642,
Latvia,,,,,,,,,,,,,7456,
Lithuania,,,,,8273,9579,12943,12446,16162,21775,18993,20796,24851,
Luxembourg,,,,,18675,22583,25339,29978,34673,55782,57513,51611,53331,
Malaysia,,,,101961,,104137,,163031,,250338,256041,259640,,
Malta,,,,,1787,,,2630,2357,2614,2548,4992,5289,
Mexico,,,,,,,,,,,,298639,,
Montenegro,,,,,,,,,,,,,,
Netherlands (Kingdom of the),,,,,120254,135549,141683,169462,178050,306503,332629,,458582,
North Macedonia,,,,,,,,,,,,,,
Norway,,,,,76039,103807,108732,75232,86182,85069,89666,100833,99094,
Philippines,,1098,889,975,869,2733,,3277,2662,3170,2923,,,
Poland,,,,,133262,156899,202202,192964,198008,224649,255114,267464,320127,
Portugal,,,,,43002,52363,59958,62303,51856,59116,71754,82667,90840,
Republic of Korea,1007094,1087393,,,,,,,,,,,,
Romania,,,,,,,,,,,,,69321,
Serbia,,,,,3753,5208,11406,5584,4243,8029,7447,8682,16676,
Singapore,,,,,125454,150803,182629,196613,194528,272649,296992,293375,,
Slovakia,,,,,36274,34521,39452,39687,35087,43773,44381,58188,68571,
Slovenia,,,,,12107,14693,16343,16350,15532,19035,17457,18846,19188,
Spain,,,,,276328,305229,344776,371449,336371,406079,447701,461663,475076,
Sweden,,,,,,,,,,,,,263335,
Thailand,,,,65556,72532,81394,116590,130535,120861,161789,155009,167098,168850,
United Kingdom,,,844948,758083,686979,749315,904298,884555,,,,,,
United States,5719370,6230614,6780611,6835403,6948799,7856139,8436662,8724938,8642020,10097008,11357475,11848517,,
