Country Name,Country Code,Indicator Name,Indicator Code,2024
Aruba,ABW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Africa Eastern and Southern,AFE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,294091964960.252
Afghanistan,AFG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Africa Western and Central,AFW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,145573169026.372
Angola,AGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14190242035.7676
Albania,ALB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7867974154.59142
Andorra,AND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1952347954.66753
Arab World,ARB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
United Arab Emirates,ARE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,400217835262.083
Argentina,ARG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,57355705332.6901
Armenia,ARM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15411855178.5685
American Samoa,ASM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Antigua and Barbuda,ATG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,736587441.111111
Australia,AUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,296878422813.402
Austria,AUT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,194875821607.741
Azerbaijan,AZE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,17167084000
Burundi,BDI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,959050839.446375
Belgium,BEL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,370362683960.703
Benin,BEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Burkina Faso,BFA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Bangladesh,BGD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,64130258884.5481
Bulgaria,BGR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,52792560000
Bahrain,BHR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,20670478723.4042
"Bahamas, The",BHS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4595812200.25276
Bosnia and Herzegovina,BIH,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14810896368.5003
Belarus,BLR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,44220600000
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1362002496.69816
Bermuda,BMU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Bolivia,BOL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9151819124.47125
Brazil,BRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,274014372506.19
Barbados,BRB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Brunei Darussalam,BRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7364290807.24279
Bhutan,BTN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1284708941.08448
Botswana,BWA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6862627840.98377
Central African Republic,CAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Canada,CAN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,573028834803.226
Central Europe and the Baltics,CEB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Switzerland,CHE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,371213345540.516
Channel Islands,CHI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Chile,CHL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,78132721098.2597
China,CHN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2641014638228.82
Cote d'Ivoire,CIV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15340008468.2391
Cameroon,CMR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7772292117.96642
"Congo, Dem. Rep.",COD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,31000004879.519
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Colombia,COL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,60246456266.0187
Comoros,COM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Cabo Verde,CPV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1173415468.94277
Costa Rica,CRI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,23140040620.3146
Caribbean small states,CSS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Cuba,CUB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Curacao,CUW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Cayman Islands,CYM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1776234627.38186
Cyprus,CYP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11912522263
Czechia,CZE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,178723425527.538
Germany,DEU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1211420053490.96
Djibouti,DJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4035074969.46677
Dominica,DMA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,255879514.814814
Denmark,DNK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,132406297384.213
Dominican Republic,DOM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,29808000000
Algeria,DZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,45331729396.2413
East Asia & Pacific (excluding high income),EAP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Early-demographic dividend,EAR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
East Asia & Pacific,EAS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Europe & Central Asia (excluding high income),ECA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Europe & Central Asia,ECS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Ecuador,ECU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,27893289547.3562
"Egypt, Arab Rep.",EGY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,72882900000
Euro area,EMU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2653946495526.99
Eritrea,ERI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,456093528217.126
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,22118410681.1869
Ethiopia,ETH,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,19631900695.4634
European Union,EUU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Fragile and conflict affected situations,FCS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Finland,FIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,76641008162.1948
Fiji,FJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2855677375.27462
France,FRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,733286688815.454
Faroe Islands,FRO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
"Micronesia, Fed. Sts.",FSM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Gabon,GAB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
United Kingdom,GBR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,763479198422.084
Georgia,GEO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15193580235
Ghana,GHA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,15391522590.0243
Gibraltar,GIB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Guinea,GIN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7081270000
"Gambia, The",GMB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1388324740.35726
Guinea-Bissau,GNB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,413500032.058717
Equatorial Guinea,GNQ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Greece,GRC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,91195123262.0925
Grenada,GRD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,558644902.222222
Greenland,GRL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Guatemala,GTM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,29134602910
Guam,GUM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Guyana,GUY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
High income,HIC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
"Hong Kong SAR, China",HKG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,633123847460.72
